# Access Control Errors
# Authentication failures, rate limiting, bot detection, CDN protection
# Format: [timestamp] | Category: access/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-08-31T19:41:18.087Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: https://alligator.org | Message: Page was closed during navigation checks
[2025-08-31T19:46:29.319Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.alligator.org | Message: Page was closed during navigation checks
[2025-08-31T20:03:21.518Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.1340wjrw.com | Message: net::ERR_TIMED_OUT at http://www.1340wjrw.com
[2025-08-31T20:05:15.615Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.20min.dev | Message: net::ERR_INVALID_AUTH_CREDENTIALS at http://www.20min.dev
[2025-08-31T20:09:53.443Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.365folhetos.com | Message: net::ERR_EMPTY_RESPONSE at http://www.365folhetos.com
[2025-08-31T20:11:10.271Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.2paragraphs.com | Message: Page was closed during navigation checks
[2025-08-31T20:21:17.433Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.8171bispehsas.com | Message: net::ERR_TIMED_OUT at http://www.8171bispehsas.com
[2025-08-31T20:25:09.661Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.949theoutlaw.com | Message: net::ERR_TIMED_OUT at http://www.949theoutlaw.com
[2025-08-31T20:31:50.554Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.aanbiedingen365.com | Message: net::ERR_CONNECTION_RESET at http://www.aanbiedingen365.com
[2025-08-31T20:35:00.402Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.abcjanikowo24.pl | Message: Page was closed during navigation checks
[2025-08-31T20:48:41.154Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.acvg.com | Message: Redirected to problematic domain: www.godaddy.com
[2025-08-31T20:56:13.100Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.advocatechannel.com | Message: net::ERR_TIMED_OUT at http://www.advocatechannel.com
[2025-08-31T21:00:09.832Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.afrobeatzplus.com | Message: net::ERR_TIMED_OUT at http://www.afrobeatzplus.com
[2025-08-31T21:02:21.482Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.afterbr.com | Message: Page was closed during navigation checks
[2025-08-31T21:32:41.577Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.alarabiya.cam | Message: net::ERR_TIMED_OUT at http://www.alarabiya.cam
[2025-08-31T21:32:42.523Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.alaskahandbook.com | Message: net::ERR_ABORTED at http://www.alaskahandbook.com
[2025-08-31T21:45:45.096Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.allabtai.com | Message: net::ERR_ABORTED at http://www.allabtai.com
[2025-08-31T21:47:58.477Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.allistonminorsoftball.com | Message: net::ERR_TIMED_OUT at http://www.allistonminorsoftball.com
[2025-08-31T22:03:59.697Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.alwihdainfo.com | Message: Page was closed during navigation checks
[2025-08-31T22:19:54.649Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.animalaxy.fr | Message: net::ERR_TIMED_OUT at http://www.animalaxy.fr
[2025-08-31T22:22:12.609Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.animecollective.com | Message: net::ERR_ABORTED at http://www.animecollective.com
[2025-08-31T22:23:58.974Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.annarboradulthockey.com | Message: net::ERR_TIMED_OUT at http://www.annarboradulthockey.com
[2025-08-31T22:25:39.055Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.annabelle.ch | Message: Page was closed during navigation checks
[2025-08-31T22:30:31.104Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.anuncomplicatedlifeblog.com | Message: Page was closed during navigation checks
[2025-08-31T22:30:52.906Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.anytexteditor.com | Message: net::ERR_TOO_MANY_REDIRECTS at http://www.anytexteditor.com
[2025-08-31T22:45:02.002Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.ar-mag.jp | Message: net::ERR_TIMED_OUT at http://www.ar-mag.jp
[2025-08-31T23:05:10.974Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.asajikan.jp | Message: net::ERR_TIMED_OUT at http://www.asajikan.jp
