# General Processing Errors
# Unknown or uncategorized errors
# Format: [timestamp] | URL: <url> | Message: <msg> | Error: <code>
[2025-06-30T21:14:41.578Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://ofertasimple.com | Message: Navigating frame was detached
[2025-06-30T21:15:02.345Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://diarydirectory.com | Message: net::ERR_ABORTED at https://diarydirectory.com
[2025-06-30T21:15:19.920Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://site-seo-analysis.com | Message: Navigating frame was detached
[2025-06-30T21:15:22.638Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://yallaforma.com | Message: Navigating frame was detached
[2025-06-30T21:15:24.898Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://shekofa.ir | Message: net::ERR_CONNECTION_RESET at https://shekofa.ir
[2025-06-30T21:15:47.322Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://allrecipes.ca | Message: Navigating frame was detached
[2025-06-30T21:16:25.793Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://evolero.com | Message: Navigating frame was detached
[2025-06-30T21:18:43.720Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://fabao365.com | Message: Navigating frame was detached
[2025-06-30T21:19:20.536Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://uthsc.edu | Message: Navigating frame was detached
[2025-06-30T21:19:28.157Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://mazda.pl | Message: Navigating frame was detached
[2025-06-30T21:20:43.195Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://appysearch.com | Message: Navigating frame was detached
[2025-06-30T21:20:44.805Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://crawler.com | Message: Navigating frame was detached
[2025-06-30T21:21:02.887Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pianophase.com | Message: Navigating frame was detached
[2025-06-30T21:21:30.651Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://x1x.com | Message: Navigating frame was detached
[2025-06-30T21:22:00.802Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bergen.edu | Message: Navigating frame was detached
[2025-06-30T21:23:01.155Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://118118.com | Message: Navigating frame was detached
[2025-06-30T21:24:18.146Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://joongboo.com | Message: Navigating frame was detached
[2025-06-30T21:24:49.331Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://inetbiller.com | Message: Navigating frame was detached
[2025-06-30T21:24:59.000Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://autozona.it | Message: net::ERR_ABORTED at https://autozona.it
[2025-06-30T21:26:05.243Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://ohgizmo.com | Message: Navigating frame was detached
[2025-06-30T21:26:25.680Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://cass.cn | Message: Navigating frame was detached
[2025-06-30T21:26:55.808Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://gamesbuyers.com | Message: Navigating frame was detached
[2025-06-30T21:27:34.582Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://novsport.com | Message: net::ERR_ABORTED at https://novsport.com
[2025-06-30T21:28:58.319Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://darmanteb.ir | Message: net::ERR_CONNECTION_RESET at https://darmanteb.ir
[2025-06-30T21:30:12.265Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pravasishabdam.com | Message: Navigating frame was detached
[2025-06-30T21:31:09.726Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bangbrosonline.com | Message: Navigating frame was detached
[2025-06-30T21:32:11.916Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nextmp.net | Message: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://nextmp.net
[2025-06-30T21:32:17.910Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://lntcfn.com | Message: Navigating frame was detached
[2025-06-30T21:33:27.734Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://cintas.com | Message: Navigating frame was detached
[2025-06-30T21:34:18.256Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://trade360.com | Message: Navigating frame was detached
[2025-06-30T21:34:26.420Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://iaeo.org | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T21:34:52.975Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://avaxnews.net | Message: Navigating frame was detached
[2025-06-30T21:35:46.237Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://syntelinc.com | Message: Navigating frame was detached
[2025-06-30T21:36:05.353Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://aorhan.com | Message: Navigating frame was detached
[2025-06-30T21:36:12.377Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://kinvey.com | Message: net::ERR_CONNECTION_CLOSED at https://kinvey.com
[2025-06-30T21:36:42.605Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nudemilftube.com | Message: Navigating frame was detached
[2025-06-30T21:37:23.710Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://storagecraft.com | Message: Navigating frame was detached
[2025-06-30T21:38:39.394Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bluelionsports.com | Message: Navigating frame was detached
[2025-06-30T21:38:48.118Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nikkoam.com | Message: net::ERR_INVALID_AUTH_CREDENTIALS at https://nikkoam.com
[2025-06-30T21:39:30.155Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://truopto.net | Message: Navigating frame was detached
[2025-06-30T21:39:36.805Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://galileo.edu | Message: net::ERR_CONNECTION_CLOSED at https://galileo.edu
[2025-06-30T21:40:07.049Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://360lead.nl | Message: Navigating frame was detached
[2025-06-30T21:41:41.064Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://sjwmh.com | Message: Navigating frame was detached
[2025-06-30T21:42:09.968Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://saiyanwatch.com | Message: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://saiyanwatch.com
[2025-06-30T21:42:13.359Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://wightbay.com | Message: Navigating frame was detached
[2025-06-30T21:42:43.521Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pluginboutique.com | Message: Navigating frame was detached
[2025-06-30T21:43:02.396Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bvs.br | Message: Navigating frame was detached
[2025-06-30T21:43:27.927Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://classdirectory.org | Message: Navigating frame was detached
[2025-06-30T21:43:45.082Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://prodengi.kz | Message: Navigating frame was detached
[2025-06-30T21:44:11.792Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://5ccc.net | Message: Navigating frame was detached
[2025-06-30T21:44:17.644Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nationalparksdepot.us | Message: Navigating frame was detached
[2025-06-30T21:44:53.750Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://softline.ru | Message: Navigating frame was detached
[2025-06-30T21:45:38.552Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pearsonopenclass.com | Message: Navigating frame was detached
[2025-06-30T21:47:45.602Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://forestriverforums.com | Message: Navigating frame was detached
[2025-06-30T21:48:15.739Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://lightscamerabollywood.com | Message: Navigating frame was detached
[2025-06-30T21:48:39.913Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://khabareghtesadi.com | Message: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://khabareghtesadi.com
[2025-06-30T21:49:55.093Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://thewowstyle.com | Message: Navigating frame was detached
[2025-06-30T21:50:27.587Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://inmethod.com | Message: Navigating frame was detached
[2025-06-30T21:50:56.411Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pornvideos.mobi | Message: net::ERR_QUIC_PROTOCOL_ERROR at https://pornvideos.mobi
[2025-06-30T21:51:44.865Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bouxavenue.com | Message: Navigating frame was detached
[2025-06-30T21:52:31.265Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://fig-gymnastics.com | Message: Navigating frame was detached
[2025-06-30T21:52:40.485Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://birst.com | Message: net::ERR_CONNECTION_RESET at https://birst.com
[2025-06-30T21:53:24.084Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://printtixusa.com | Message: Navigating frame was detached
[2025-06-30T21:53:28.696Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://vivantabytaj.com | Message: Navigating frame was detached
[2025-06-30T21:53:33.953Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://altadefinizione.co | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T21:54:04.199Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://7zcn.cn | Message: Navigating frame was detached
[2025-06-30T21:54:26.130Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://otto.sk | Message: Navigating frame was detached
[2025-06-30T21:54:57.042Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://draftexpress.com | Message: Navigating frame was detached
[2025-06-30T21:55:31.419Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://webloggerz.com | Message: Navigating frame was detached
[2025-06-30T21:56:19.763Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://taisengd.cn | Message: Navigating frame was detached
[2025-06-30T21:59:58.733Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://yiso.me | Message: Navigating frame was detached
[2025-06-30T22:00:11.419Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://dogakoleji.com | Message: net::ERR_CONNECTION_RESET at https://dogakoleji.com
[2025-06-30T22:00:54.149Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://taosf.com | Message: Navigating frame was detached
[2025-06-30T22:01:07.492Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://beroozresani.com | Message: Navigating frame was detached
[2025-06-30T22:02:09.643Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://citirewards.com | Message: Navigating frame was detached
[2025-06-30T22:03:21.548Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bjslwx.com | Message: Navigating frame was detached
[2025-06-30T22:04:01.213Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://outlookhotels.com | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T22:05:08.258Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://seovat.com | Message: Navigating frame was detached
[2025-06-30T22:05:44.995Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://fr-minecraft.net | Message: Navigating frame was detached
[2025-06-30T22:06:00.414Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://martisco.com | Message: Navigating frame was detached
[2025-06-30T22:06:06.522Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://airteltrickz.com | Message: Navigating frame was detached
[2025-06-30T22:07:31.307Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://qqj.cn | Message: Navigating frame was detached
[2025-06-30T22:07:47.375Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://idebate.org | Message: Navigating frame was detached
[2025-06-30T22:08:51.226Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://topica.vn | Message: Navigating frame was detached
[2025-06-30T22:09:21.355Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://financedriver.com | Message: Navigating frame was detached
[2025-06-30T22:10:02.042Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://planet-source-code.com | Message: Navigating frame was detached
[2025-06-30T22:10:03.790Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://nintendo-master.com | Message: net::ERR_ABORTED at https://nintendo-master.com
[2025-06-30T22:10:06.433Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://e-patternscentral.com | Message: Navigating frame was detached
[2025-06-30T22:10:07.514Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://seikatsu-kojo.jp | Message: Navigating frame was detached
[2025-06-30T22:10:36.852Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://alegrecompra.com | Message: Navigating frame was detached
